time,x,y,vx,vy
3801600,108461923857.27173,102690543545.3143,-20501.9048389645,21668.295792587123
3823200,108017066690.4734,103156669986.9583,-20595.23920362606,21579.927853888516
3844800,107570201722.6866,103620878971.75668,-20688.192953092715,21491.15670362891
3866400,107121337213.0443,104083161825.70015,-20780.76433529153,21401.98397886448
3888000,106670481458.37262,104543509910.30615,-20872.951605170518,21312.411324352135
3909600,106217642793.03838,105001914622.78458,-20964.753024733232,21222.4403925196
3931200,105762829588.79599,105458367396.20277,-21056.166863073242,21132.072843435297
3952800,105306050254.63356,105912859699.64998,-21147.191396408456,21041.310344778114
3974400,104847313236.61827,106365383038.40102,-21237.82490811536,20950.154571806965
3996000,104386627017.74098,106815928954.07935,-21328.065688763076,20858.607207330235
4017600,103924000117.7602,107264489024.81952,-21417.91203614734,20766.669941675027
4039200,103459441093.04518,107711054865.4289,-21507.36225532432,20674.344472656278
4060800,102992958536.41846,108155618127.54868,-21596.414658644306,20581.632505545695
4082400,102524561076.9975,108598170499.81435,-21685.067565785288,20488.535753040553
4104000,102054257380.0357,109038703708.01537,-21773.319303786375,20395.055935232318
4125600,101582056146.76276,109477209515.25418,-21861.168207081093,20301.194779575126
4147200,101107966114.22409,109913679722.10463,-21948.612617530558,20206.95402085409
4168800,100631996055.11983,110348106166.76955,-22035.650884456496,20112.335401153472
4190400,100154154777.64287,110780480725.23776,-22122.281364674145,20017.340669824687
4212000,99674451125.31633,111210795311.44037,-22208.50242252501,19921.97158345415
4233600,99192893976.83029,111639041877.40631,-22294.312429909474,19826.229905830976
4255200,98709492245.87779,112065212413.41727,-22379.709766319298,19730.11740791452
4276800,98224254880.9902,112489298948.16179,-22464.69281886995,19633.635867801775
4298400,97737190865.37181,112911293548.8888,-22549.259982332813,19536.787070694605
4320000,97248309216.7338,113331188321.56032,-22633.409659167253,19439.572808866826
4341600,96757618987.12746,113748975411.00356,-22717.140259552543,19341.99488163115
4363200,96265129262.7768,114164647001.06216,-22800.450201419637,19244.055095305976
4384800,95770849163.91037,114578195314.7469,-22883.33791048281,19145.755263182
4406400,95274787844.59251,114989612614.38545,-22965.801820271157,19047.097205488724
4428000,94776954492.55386,115398891201.77165,-23047.84037215995,18948.082749360783
4449600,94277358329.02118,115806023418.31383,-23129.45201540183,18848.71372880413
4471200,93776008608.54657,116211001645.18253,-23210.635207157877,18748.991984662087
4492800,93272914618.83595,116613818303.45747,-23291.388412528526,18648.919364581227
4514400,92768085680.57693,117014465854.27377,-23371.710104584334,18548.497722977132
4536000,92261531147.26598,117412936798.96738,-23451.59876439659,18447.728920999987
4557600,91753260405.03491,117809223679.21977,-23531.0528810678,18346.614826500037
4579200,91243282872.47685,118203319077.20203,-23610.070951762005,18245.157313992906
4600800,90731608000.47137,118595215615.71793,-23688.651481734945,18143.35826462476
4622400,90218245272.00911,118984905958.3465,-23766.79298436409,18041.219566137337
4644000,89703204202.01566,119372382809.58368,-23844.493981178497,17938.74311283282
4665600,89186494337.17487,119757638914.9833,-23921.75300188855,17835.930805538595
4687200,88668125255.7515,120140667061.29726,-23998.568584415505,17732.78455157184
4708800,88148106567.41321,120521460076.61487,-24074.9392749209,17629.30626470398
4730400,87626447913.05196,120900010830.50157,-24150.86362783582,17525.497865125024
4752000,87103158964.60474,121276312234.13678,-24226.340205890003,17421.361279407727
4773600,86578249424.8737,121650357240.45097,-24301.367580140766,17316.89844047165
4795200,86051729027.34566,122022138844.262,-24375.944330001814,17212.111287547054
4816800,85523607536.01099,122391650082.41058,-24450.06904327186,17107.001766138666
4838400,84993894745.18187,122758884033.89516,-24523.7403161631,17001.57182798932
4860000,84462600479.30995,123123833820.00569,-24596.956753329534,16895.823431043445
4881600,83929734592.80342,123486492604.45695,-24669.716967895114,16789.75853941043
4903200,83395306969.84341,123846853593.52084,-24742.019581481745,16683.379123327853
4924800,82859327524.19989,124204910036.15793,-24813.863224237113,16576.68715912456
4946400,82321806199.04686,124560655224.1483,-24885.246534862363,16469.684629183645
4968000,81782752966.77704,124914082492.22145,-24956.168160639612,16362.373521905261
4989600,81242177828.81592,125265185218.1855,-25026.626757459297,16254.75583166933
5011200,80700090815.43521,125613956823.05554,-25096.62098984735,16146.833558798102
5032800,80156501985.56578,125960390771.18114,-25166.149530992232,16038.60870951859
5054400,79611421426.60991,126304480570.37311,-25235.21106277178,15930.083295924882
5076000,79064859254.25307,126646219772.02942,-25303.804275779905,15821.259335940314
5097600,78516825612.27504,126985601971.26025,-25371.9278693531,15712.138853279526
5119200,77967330672.36055,127322620807.01231,-25439.58055159682,15602.72387741038
5140800,77416384633.90926,127657269962.19226,-25506.761039411653,15493.016443515762
5162400,76863997723.84525,127989543163.78929,-25573.468058519346,15383.018592455252
5184000,76310180196.42589,128319434182.997,-25639.700343488665,15272.73237072667
5205600,75754942333.05025,128646936835.33423,-25705.456637761075,15162.1598304275
5227200,75198294442.06683,128972044980.7653,-25770.735693676244,15051.303029216191
5248800,74640246858.58089,129294752523.81921,-25835.536272497397,14940.164030273336
5270400,74080809944.26106,129615053413.70808,-25899.85714443648,14828.744902262722
5292000,73519994087.1456,129932941644.4448,-25963.69708867916,14717.047719292274
5313600,72957809701.44795,130248411254.95969,-26027.054893409655,14605.074560874855
5335200,72394267227.36191,130561456329.21649,-26089.929355835382,14492.827511888978
5356800,71829377130.86613,130872070996.32735,-26152.31928221144,14380.308662539373
5378400,71263149903.52826,131180249430.667,-26214.223487864907,14267.52010831745
5400000,70695596062.30833,131485985851.98618,-26275.640797218977,14154.463949961637
5421600,70126726149.3619,131789274525.524,-26336.57004381691,14041.142293417608
5443200,69556550731.84242,132090109762.11964,-26397.010070345816,13927.557249798396
5464800,68985080401.70335,132388485918.32309,-26456.95972866024,13813.710935344385
5486400,68412325775.49955,132684397396.50496,-26516.417879805595,13699.605471383193
5508000,67838297494.188255,132977838644.9656,-26575.383394041408,13585.242984289443
5529600,67263006222.92959,133268804158.04321,-26633.85515086438,13470.62560544442
5551200,66686462650.88651,133557288476.22104,-26691.832039031273,13355.75547119561
5572800,66108677491.02435,133843286186.23387,-26749.312956581616,13240.634722816147
5594400,65529661479.909775,134126791921.1735,-26806.296810860236,13125.265506464126
5616000,64949425377.50932,134407800360.59335,-26862.782518539592,13009.649973141828
5637600,64367979966.98746,134686306230.6123,-26918.76900564195,12893.790278654826
5659200,63785336054.504135,134962304304.01744,-26974.25520756135,12777.688583570982
5680800,63201504469.01189,135235789400.36612,-27029.24006908542,12661.34705317935
5702400,62616496062.05248,135506756386.08702,-27083.72254441697,12544.767857448958
5724000,62030321707.55306,135775200174.58035,-27137.701597195442,12427.9531709875
5745600,61442992301.62187,136041115726.31715,-27191.17620051814,12310.905172999905
5767200,60854518762.343506,136304498048.93768,-27244.1453369613,12193.62604724683
5788800,60264912029.57372,136565342197.34895,-27296.607998600968,12076.117982003023
5810400,59674183064.733795,136823643273.82129,-27348.563187033673,11958.383170015606
5832000,59082342850.60442,137079396428.08408,-27400.00991339695,11840.423808462243
5853600,58489402391.11921,137332596857.42052,-27450.947198389633,11722.242098909217
5875200,57895372711.1577,137583239806.76154,-27501.374072292005,11603.840247269407
5896800,57300264856.338005,137831320568.77875,-27551.28957498572,11485.220463760164
5918400,56704089892.808975,138076834483.97653,-27600.69275597356,11366.384962861095
